trip_distance_bin,avg_tip
46.36,22.47
46.72,26.5
46.92,20.0
47.11,15.54
47.13,20.23
47.14,39.41
47.15,30.04
47.29,59.76
47.38,35.747498
47.49,0.0
47.5,25.227728
47.53,42.75
47.6,19.510714
47.61,33.83
47.64,22.468
47.87,37.225716
47.91,32.905
48.05,23.333334
48.09,16.486668
48.34,38.81
48.49,39.77
48.54,0.0
48.66,19.723333
48.78,41.36
48.84,36.96
48.93,51.09
49.3,34.26071
49.36,25.88
49.37,14.5
49.44,65.574
49.47,50.71
49.86,39.406666
49.88,0.0
49.89,52.78
49.94,2.0
50.03,46.58
50.08,1.32
50.23,31.775
50.33,10.0
50.43,22.003334
50.6,15.627334
50.7,27.182
50.86,10.1
50.89,40.06
51.07,25.413334
51.17,10.0
51.19,47.010002
51.21,45.455
51.32,0.0
51.44,25.066666
51.57,32.2
51.75,61.190002
51.84,0.0
52.07,15.0
52.11,43.86
52.43,0.0
52.5,20.1
52.56,40.16
52.6,27.8
52.62,29.155
52.69,46.31
52.82,48.83
52.88,34.58
52.9,16.868572
53.35,15.0
54.05,35.41
54.17,51.35
54.21,15.23
54.22,50.06
54.29,26.136667
54.3,14.575
54.35,0.0
54.53,19.253332
54.73,0.0
54.86,40.0
54.91,0.0
54.98,64.95
55.17,66.45
55.2,21.654167
55.44,23.18
55.49,24.803333
55.52,25.655
55.57,0.0
55.8,25.787144
55.92,20.0
55.94,11.71
55.98,34.78
56.05,70.71
56.1,39.97
56.13,47.506668
56.63,36.385002
56.64,35.989998
56.68,20.0
56.8,27.524616
56.86,37.89
56.87,40.825
56.9,14.531
57.07,10.0
57.14,7.505
57.24,10.0
57.33,36.21
57.46,21.28
57.51,31.29
57.63,66.16
57.65,45.06
57.79,0.0
57.94,10.0
58.03,0.0
58.15,0.0
58.32,52.36
58.5,21.188
58.53,0.0
58.54,0.0
58.63,40.706665
58.76,0.0
58.83,71.26
59.06,72.08
59.2,5.0
59.23,5.6666665
59.36,48.61
59.74,34.16
59.95,0.0
60.24,27.0
60.8,20.0
61.05,75.16
61.99,7.5
62.0,19.6625
62.01,42.605
62.12,30.0
62.18,34.36
62.65,57.56
62.72,7.0
62.77,0.0
62.9,8.433333
63.14,90.85
63.19,0.0
63.48,0.0
63.5,16.34
63.6,56.18
63.73,97.0
63.96,61.184998
64.2,31.5
64.27,0.0
64.6,23.85
64.7,60.066666
65.0,30.28
65.39,24.005001
65.4,59.75
65.43,69.86
65.62,0.0
66.11,44.56
66.31,0.0
66.48,25.0
66.56,31.64
66.57,60.06
66.78,20.0
67.4,39.3
67.85,48.56
67.88,34.379997
67.98,20.0
68.29,20.0
68.5,280.0
68.9,11.02
69.58,20.0
70.19,50.69
70.34,35.0
70.4,31.3
70.5,17.5
70.9,20.0
70.92,0.0
71.38,0.0
71.9,51.03
72.56,0.0
73.13,0.0
73.65,40.0
73.68,0.0
74.3,20.0
74.48,0.0
74.59,0.0
74.83,0.0
76.6,166.66
77.3,10.0
78.14,20.0
78.41,0.0
79.3,75.31
79.32,0.0
79.8,2.0
80.19,20.0
83.89,0.0
84.8,37.436665
85.35,9.0
88.43,0.0
89.25,0.0
89.74,0.0
89.8,0.0
90.62,55.16
93.02,0.0
93.21,65.2
95.17,0.0
98.29,0.0
101.0,0.0
102.36,59.56
109.75,80.16
110.29,61.86
112.8,30.0
118.54,100.0
122.4,0.0
123.56,0.0
123.69,20.0
129.96,0.0
150.91,0.0
178.44,0.0
212.61,40.16
214.81,50.0
216.5,0.0
380.83,0.0
0.0,4.96876
0.32,0.8158344
0.4,2.092029
0.42,4.6869845
0.62,2.5602021
0.65,2.89261
0.71,2.7091901
0.82,2.4672923
0.83,2.0087247
0.99,2.0732265
1.12,2.2552304
1.18,2.2627637
1.31,1.992187
1.32,2.0791943
1.4,2.1500373
1.56,2.1162179
1.59,2.0055902
