fare_amount_bin,avg_tip
73.77,0.0
73.89,18.55
74.36,18.66
74.38,8.636
74.68,13.293333
74.81,0.0
74.97,0.0
75.5,13.316131
75.6,15.135
75.99,16.101667
76.14,0.0
76.15,19.1
76.16,15.25
76.7,11.0
77.05,9.65
78.65,0.0
79.47,1.0
80.01,5.0
80.37,0.0
80.45,3.3333333
80.76,13.1
80.79,1.335
80.98,16.25
81.2,2.5
81.76,9.2
81.8,0.0
82.28,0.0
82.55,9.385
82.58,0.0
83.24,0.0
83.52,10.0
83.76,13.5
84.46,16.983334
84.52,16.96
84.57,12.02
84.58,15.27
84.67,0.0
84.83,0.0
85.17,0.0
86.25,14.16625
86.64,0.0
86.8,14.673333
87.05,0.0
87.2,3.0
87.78,0.0
87.99,21.3
88.9,11.0
89.32,10.0
89.37,12.0
89.48,15.303332
90.7,16.1
90.75,14.3275
91.25,10.0
91.56,0.0
91.7,11.7
92.4,10.0
92.5,15.452983
92.6,18.68
92.75,12.043333
92.9,10.0
93.15,9.596667
93.5,14.93934
94.0,15.121658
94.95,19.05
95.5,15.781561
96.05,10.0
96.34,0.0
96.66,24.2
97.1,0.0
97.13,28.9
97.3,14.75
97.78,15.0
97.82,19.72
98.75,11.8675
99.32,0.0
100.03,20.07
100.1,3.0
100.5,16.313665
100.9,0.0
101.7,20.4
102.96,28.56
103.25,19.36625
105.76,15.786
106.24,28.64
106.35,15.0
106.74,25.05
107.26,21.5
108.76,11.0
108.88,23.642
109.15,38.02
109.7,20.7
111.17,22.25
112.2,15.0
112.22,23.64
112.88,0.0
114.0,19.56836
114.2,22.9
114.96,0.0
115.75,20.4525
116.61,0.0
117.72,0.0
117.86,23.73
118.0,18.690456
118.75,18.962162
119.39,24.04
120.05,22.035
122.22,16.567223
122.26,10.0
122.8,15.0
123.88,0.0
124.0,18.470514
124.75,22.116364
125.26,0.0
125.76,18.9575
126.12,27.55
127.15,0.0
127.36,0.0
127.5,19.235285
129.37,5.5
129.55,32.59
130.4,35.92
130.7,29.45
131.06,15.0
131.31,26.42
133.27,26.81
134.8,28.825
135.0,17.648903
135.5,20.5746
136.3,27.0
136.5,22.473888
136.75,30.26
137.76,11.5
138.8,23.76
138.99,30.18
141.0,18.938265
142.0,21.492891
142.5,21.788492
143.33,25.653334
146.0,17.9726
146.5,20.888979
146.6,32.45
147.75,20.972
149.13,29.85
149.81,0.0
150.01,0.0
151.26,0.0
153.26,30.81
153.5,22.752083
153.86,30.93
155.45,31.15
155.5,21.487104
155.75,15.655
158.0,22.011055
164.3,7.5
165.0,22.249447
168.06,33.65
168.88,20.0
169.3,33.0
170.5,21.583889
